CARRERA,SEXO,EDAD,SECUNDARIA,NOTA_INGRESO,MODALIDAD_INGRESO,DEPENDIENTE,TOTAL_INGRESOS,PROMEDIO,AMONESTACIONES,TERCIO,Class
1,2,2,1,39.6,1,2,3,13.05,0,1,0
1,1,2,2,42.85,1,1,3,1.55,1,2,1
1,2,1,1,42.76,2,2,1,11.8,0,1,0
1,2,1,1,34.3,1,2,2,7.7,1,2,0
1,2,1,1,43.75,1,2,3,9.45,1,2,0
1,1,1,1,37.65,1,2,2,8.55,1,2,0
1,1,1,1,53.1,1,2,2,9.5,1,2,0
1,1,1,2,34.8,1,2,2,6.85,1,2,1
1,2,1,1,43.5,1,2,3,9.95,1,2,0
1,1,1,1,32.1,1,2,3,10.05,1,2,0
1,1,1,1,47.5,1,2,1,2.1,1,2,1
1,2,1,1,51.35,1,2,3,12.9,0,1,0
1,2,2,1,32.25,1,1,1,9.05,1,2,0
1,2,1,1,39.25,1,2,2,14.05,0,1,0
1,1,1,1,40.11,2,2,1,8.6,1,2,0
1,2,2,1,29,1,2,2,7.9,1,2,0
1,2,2,1,41.58,2,1,1,11.05,0,2,0
1,1,1,1,34.5,1,2,1,10.6,0,2,0
1,2,1,1,37.5,1,2,1,9,1,2,0
1,1,2,1,46.81,2,1,2,11.2,0,1,0
1,2,1,1,47.49,2,2,3,12.8,0,1,0
1,1,1,1,31.6,1,2,2,2.5,1,2,1
1,1,1,1,39.9,1,2,3,10.65,0,2,0
1,1,2,1,35.85,1,1,1,11.8,0,1,0
1,1,1,1,54.55,1,2,3,11.5,0,1,0
1,1,1,1,41.82,2,2,2,9.85,1,2,0
1,2,2,1,32.3,1,1,1,10,1,2,0
1,2,1,1,34.85,1,2,2,13.05,0,1,0
1,1,2,1,30,1,2,3,7.7,1,2,0
1,1,1,1,32.1,1,2,2,9.7,1,2,0
1,2,1,1,38.65,2,2,2,11.05,0,2,0
1,1,1,1,32,1,2,3,11.45,0,1,0
1,2,1,1,60.55,1,2,3,13.3,0,1,0
1,2,1,1,40.92,2,2,1,11.25,0,1,0
1,2,1,1,30.8,1,2,2,9.25,1,2,0
1,2,1,1,32.8,1,2,2,9.5,1,2,0
1,2,1,1,44.1,1,2,3,12.1,0,1,0
2,1,1,1,31,1,2,2,12.3478,0,1,0
2,1,1,2,33.05,1,2,3,5.1304,1,2,1
2,1,1,1,29.85,1,2,3,12.087,0,2,0
2,1,2,1,27.8,1,1,1,1.0435,1,2,1
2,1,2,2,59.8,1,2,2,14.4348,0,1,0
2,2,1,1,28.05,1,1,1,12.1304,0,2,0
2,1,1,1,39.55,1,2,2,15,0,1,0
2,2,1,1,21.3,1,2,1,12.3478,0,2,0
2,1,2,1,40.96,2,2,1,4.4783,1,2,0
2,1,1,2,40,1,2,2,8.7391,1,2,0
2,2,1,1,35.95,2,2,3,11.9565,0,2,0
2,1,1,1,34.22,2,2,2,11.3043,0,2,0
2,1,1,2,53.93,2,2,3,12.7391,0,1,0
2,2,1,1,38.71,2,2,1,13.5217,0,1,0
2,1,1,1,31.35,2,2,1,9.5652,1,2,0
2,1,1,1,53.32,2,2,2,15.6522,0,1,0
3,1,2,2,42.9,1,2,2,13.75,0,2,0
3,2,1,1,41.63,2,2,3,15.375,0,1,0
3,2,1,2,28.55,2,2,2,2.8333,1,2,1
3,2,1,1,37.5,2,2,1,14.75,0,1,0
3,2,1,1,27.3,1,2,1,13.9583,0,1,1
3,2,1,1,40.9,2,2,1,3.5,1,2,1
